LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,Latitude,Longitude
Chanchorena,1,Plugged,OG,Oil & Gas,S1375,Steven A. Sayce,33.593762,-118.023328
Lease by San Pedro-Point Fermin Oil & Gas Co.,1,Plugged,DH,Dry Hole,7633,San Pedro-Point Fermin Oil & Gas Co.,33.70533752,-118.2939682
Lease by Lighthouse Oil Co.,1,Idle,OG,Oil & Gas,9707,Lighthouse Oil Co.,33.708696,-118.29148
Lease by Los Angeles Harbor Oil Dev. Co.,1,Idle,OG,Oil & Gas,5421,Los Angeles Harbor Oil Dev. Co.,33.71640015,-118.3025436
Sepulveda,1,Plugged,DH,Dry Hole,8166,"Surety Holding Co., Ltd.",33.72180176,-118.326088
Sepulveda,1,Plugged,DH,Dry Hole,5297,Lesco Oil Corp.,33.72677612,-118.3323212
Sepulveda,1,Idle,OG,Oil & Gas,7289,Richard T. Grady,33.72979736,-118.3214645
S-P La Harbor,301,Plugged,DH,Dry Hole,C5640,Chevron U.S.A. Inc.,33.73212433,-118.2637177
Palos Verdes,1,Plugged,DH,Dry Hole,5839,McVicar Rood and Cole Co.,33.73389053,-118.3548889
Lease by Dodson Oil Co.,1,Plugged,DH,Dry Hole,2176,Dodson Oil Co.,33.73427582,-118.3181381
Lease by San Pedro Oil Co.,1,Idle,OG,Oil & Gas,7632,San Pedro Oil Co.,33.73530197,-118.3188019
Lease by Newton Dev. Co.,1,Plugged,DH,Dry Hole,6257,Newton Dev. Co.,33.73792648,-118.3994598
South Torrance Unit,C-104,Plugged,OG,Oil & Gas,M6900,Mobil Oil Corporation,33.74080658,-118.1392593
Lease by Tidelands Oil Production Co.,SJ-3,Idle,WS,Water Source,T2975,Tidelands Oil Production Co.,33.74101257,-118.1917801
Lease by Tidelands Oil Production Co.,FL-515,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74114227,-118.1916885
Lease by Tidelands Oil Production Co.,FL-514,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74115372,-118.1916733
Lease by Tidelands Oil Production Co.,FL-513,Plugged,Multi,Multi-Purpose,T2975,Tidelands Oil Production Co.,33.74116516,-118.191658
Lease by Tidelands Oil Production Co.,FL-512,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74117661,-118.1916428
Lease by Tidelands Oil Production Co.,FL-511,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74118805,-118.1916275
Lease by Tidelands Oil Production Co.,L 510,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74119949,-118.1916199
Lease by Tidelands Oil Production Co.,L 508,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74122238,-118.1915894
Lease by Tidelands Oil Production Co.,L 507,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74123764,-118.1915741
Lease by Tidelands Oil Production Co.,L 506,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74124908,-118.1915588
Lease by Tidelands Oil Production Co.,L 505,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74127579,-118.1915283
Lease by Tidelands Oil Production Co.,L 504,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74128723,-118.1915131
Lease by Tidelands Oil Production Co.,L 503,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74130249,-118.1914978
Lease by Tidelands Oil Production Co.,L 502,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74131012,-118.1914825
Lease by John Kenneth Wehrman,1,Idle,OG,Oil & Gas,4712,John Kenneth Wehrman,33.74131775,-118.3143845
Lease by Tidelands Oil Production Co.,L 501,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74132538,-118.1914673
Lease by THUMS Long Beach Co.,J-550 I,Plugged,Multi,Multi-Purpose,T2900,THUMS Long Beach Co.,33.74231339,-118.1903686
Lease by THUMS Long Beach Co.,J-559 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74233246,-118.1903686
Lease by THUMS Long Beach Co.,J-558,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74234772,-118.190361
Lease by THUMS Long Beach Co.,J-560 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74234772,-118.1906128
Lease by THUMS Long Beach Co.,J-569 I,Plugged,Multi,Multi-Purpose,T2900,THUMS Long Beach Co.,33.74236298,-118.1906128
Lease by THUMS Long Beach Co.,J-557 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74236298,-118.190361
Lease by THUMS Long Beach Co.,J-556 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74237823,-118.1903534
Lease by THUMS Long Beach Co.,J-568 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74237823,-118.1906052
Lease by THUMS Long Beach Co.,J-567 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74239349,-118.1906052
Lease by THUMS Long Beach Co.,J-555,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74239731,-118.1903534
J,566,Canceled,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.742412,-118.1906
Lease by THUMS Long Beach Co.,J-554,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74241257,-118.1903534
Lease by THUMS Long Beach Co.,J-566,Canceled,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74241257,-118.1905975
Lease by THUMS Long Beach Co.,J-554,Canceled,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.7424202,-118.1903534
Lease by THUMS Long Beach Co.,J-565,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74242783,-118.1905975
Lease by THUMS Long Beach Co.,J-553,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74242783,-118.1903458
Lease by THUMS Long Beach Co.,J-564,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74244308,-118.1905975
Lease by THUMS Long Beach Co.,J-552,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.7424469,-118.1903458
Lease by THUMS Long Beach Co.,J-563,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74245834,-118.1905899
Lease by THUMS Long Beach Co.,J-551 I,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74246216,-118.1903381
Lease by THUMS Long Beach Co.,J-562,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74247742,-118.1905899
Lease by THUMS Long Beach Co.,J-561,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74249268,-118.1905823
Lease by THUMS Long Beach Co.,J-540,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74251556,-118.1905823
Lease by THUMS Long Beach Co.,J-548,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.7425499,-118.1905747
Lease by THUMS Long Beach Co.,J-547,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74256516,-118.1905747
Lease by THUMS Long Beach Co.,J-546 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74258423,-118.190567
Lease by THUMS Long Beach Co.,J-545,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74259949,-118.190567
Lease by THUMS Long Beach Co.,J-544,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74261475,-118.1905594
Lease by THUMS Long Beach Co.,J-543 I,Plugged,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74263382,-118.1905594
Lease by THUMS Long Beach Co.,J-542 I,Plugged,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74264908,-118.1905594
Lease by THUMS Long Beach Co.,J-541 I,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74266434,-118.1905518
Lease by THUMS Long Beach Co.,J-520,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74287033,-118.1905518
Lease by THUMS Long Beach Co.,J-510 I,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74287033,-118.1903
Lease by THUMS Long Beach Co.,J-529,Plugged,INJ,Injection,T2900,THUMS Long Beach Co.,33.74288559,-118.1905518
Lease by THUMS Long Beach Co.,J-519 I,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74288559,-118.1903
Lease by THUMS Long Beach Co.,J-518,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74290466,-118.1903
Lease by THUMS Long Beach Co.,J-528,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74290466,-118.1905518
Lease by THUMS Long Beach Co.,J-517,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74291992,-118.1903
Lease by THUMS Long Beach Co.,J-527,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74291992,-118.1905518
Lease by THUMS Long Beach Co.,J-526,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74293518,-118.1905518
Lease by THUMS Long Beach Co.,J-516 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74293518,-118.1903
Lease by THUMS Long Beach Co.,J-515 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74295044,-118.1903
Lease by THUMS Long Beach Co.,J-525,Idle,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74295425,-118.1905518
Lease by THUMS Long Beach Co.,J-514,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74296951,-118.1903
Lease by THUMS Long Beach Co.,J-524,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74296951,-118.1905518
Lease by THUMS Long Beach Co.,J-513,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74298477,-118.1903
Lease by THUMS Long Beach Co.,J-523 I,Plugged,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74298477,-118.1905518
Lease by THUMS Long Beach Co.,J-512,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74300385,-118.1903
Lease by THUMS Long Beach Co.,J-522,Plugged,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74300385,-118.1905518
Lease by THUMS Long Beach Co.,J-511,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.7430191,-118.1903
Lease by THUMS Long Beach Co.,J-521,Plugged,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.7430191,-118.1905518
Lease by THUMS Long Beach Co.,J-460,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74411392,-118.1905518
Lease by THUMS Long Beach Co.,J-469,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.744133,-118.1905518
Lease by THUMS Long Beach Co.,J-468,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74414825,-118.1905518
Lease by THUMS Long Beach Co.,J-467,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74416351,-118.1905518
Lease by THUMS Long Beach Co.,J-466,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74418259,-118.1905518
Lease by THUMS Long Beach Co.,J-465 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74419785,-118.1905518
Lease by THUMS Long Beach Co.,J-464 I,Idle,WF,Waterflood,T2900,THUMS Long Beach Co.,33.7442131,-118.1905518
Lease by THUMS Long Beach Co.,J-463,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74422836,-118.1905518
Lease by THUMS Long Beach Co.,J-462,Plugged,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74424744,-118.1905518
Lease by THUMS Long Beach Co.,J-461,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.7442627,-118.1905518
Lease by THUMS Long Beach Co.,J-440 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.7442894,-118.1905518
Lease by THUMS Long Beach Co.,J-430 I,Plugged,WF,Waterflood,T2900,THUMS Long Beach Co.,33.7442894,-118.1903
Lease by THUMS Long Beach Co.,J-439,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74430466,-118.1903
Lease by THUMS Long Beach Co.,J-449,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74430466,-118.1905518
Lease by THUMS Long Beach Co.,J-438,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74431992,-118.1903
Lease by THUMS Long Beach Co.,J-448,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74431992,-118.1905518
Lease by THUMS Long Beach Co.,J-437,Plugged,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74433517,-118.1903
Lease by THUMS Long Beach Co.,J-447,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74433899,-118.1905518
Lease by THUMS Long Beach Co.,J-436,Plugged,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74435425,-118.1903
Lease by THUMS Long Beach Co.,J-446,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74435425,-118.1905518
Lease by THUMS Long Beach Co.,J-435 I,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74436951,-118.1903
Lease by THUMS Long Beach Co.,J-445 I,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74436951,-118.1905518
Lease by THUMS Long Beach Co.,J-434,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74438858,-118.1903
Lease by THUMS Long Beach Co.,J-444 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74438858,-118.1905518
Lease by THUMS Long Beach Co.,J-433,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74440384,-118.1903
Lease by THUMS Long Beach Co.,J-443 I,Plugged,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74440384,-118.1905518
Lease by THUMS Long Beach Co.,J-442 I,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.7444191,-118.1905518
Lease by THUMS Long Beach Co.,J-432 I,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.7444191,-118.1903
Lease by THUMS Long Beach Co.,J-431 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74443436,-118.1903
Lease by THUMS Long Beach Co.,J-441 I,Plugged,INJ,Injection,T2900,THUMS Long Beach Co.,33.74443817,-118.1905518
Lease by THUMS Long Beach Co.,J-410 I,Plugged,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74464035,-118.1903
Lease by THUMS Long Beach Co.,J-420,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74464417,-118.1905441
Lease by THUMS Long Beach Co.,J-429,Plugged,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74465942,-118.1905441
Lease by THUMS Long Beach Co.,J-419 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74465942,-118.1903
Lease by THUMS Long Beach Co.,J-428 I,Plugged,INJ,Injection,T2900,THUMS Long Beach Co.,33.74467468,-118.1905441
Lease by THUMS Long Beach Co.,J-418 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74467468,-118.1903
Lease by THUMS Long Beach Co.,J-417 I,Plugged,INJ,Injection,T2900,THUMS Long Beach Co.,33.74469376,-118.1903
Lease by THUMS Long Beach Co.,J-427 I,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74469376,-118.1905441
Lease by THUMS Long Beach Co.,J-426,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74470901,-118.1905441
Lease by THUMS Long Beach Co.,J-416 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74470901,-118.1903
Lease by THUMS Long Beach Co.,J-425 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74472427,-118.1905441
Lease by THUMS Long Beach Co.,J-415 I,Plugged,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74472427,-118.1903
Lease by THUMS Long Beach Co.,J-414,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74473953,-118.1903
Lease by THUMS Long Beach Co.,J-424,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74474335,-118.1905441
Lease by THUMS Long Beach Co.,J-413,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74475861,-118.1903
Lease by THUMS Long Beach Co.,J-423 I,Plugged,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74475861,-118.1905441
Lease by THUMS Long Beach Co.,J-412,Active,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74477386,-118.1903
Lease by THUMS Long Beach Co.,J-422,Plugged,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74477386,-118.1905441
Lease by THUMS Long Beach Co.,J-411 I,Idle,OG,Oil & Gas,T2900,THUMS Long Beach Co.,33.74478912,-118.1903
Lease by THUMS Long Beach Co.,J-421I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74478912,-118.1905441
Lease by Tidelands Oil Production Co.,FL-415,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74499512,-118.1905289
Lease by Tidelands Oil Production Co.,L 414,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74501038,-118.1905289
Lease by Tidelands Oil Production Co.,FL-413,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74502945,-118.1905289
Lease by Tidelands Oil Production Co.,FL-412,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74504471,-118.1905289
Lease by Tidelands Oil Production Co.,L 411,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74505997,-118.1905289
Lease by Tidelands Oil Production Co.,L 410,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74507523,-118.1905289
Lease by Tidelands Oil Production Co.,L 409,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.7450943,-118.1905289
Lease by Tidelands Oil Production Co.,L 408,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74510956,-118.1905289
Lease by Tidelands Oil Production Co.,FL-407,Idle,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74512863,-118.1905289
Lease by Tidelands Oil Production Co.,FL-406,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74514389,-118.1905289
Lease by Tidelands Oil Production Co.,L 405,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74518585,-118.1905289
Lease by Tidelands Oil Production Co.,L 418,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74518585,-118.1902847
Lease by Tidelands Oil Production Co.,L-419,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74520111,-118.1902847
Lease by Tidelands Oil Production Co.,L 404,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74520111,-118.1905289
Lease by Tidelands Oil Production Co.,FL-403,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74521637,-118.1905289
Lease by Tidelands Oil Production Co.,L 402,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74523544,-118.1905289
Lease by Tidelands Oil Production Co.,L 417,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74523544,-118.1902847
Lease by Tidelands Oil Production Co.,L 401,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.7452507,-118.1905289
Lease by Tidelands Oil Production Co.,FL-217,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74526215,-118.2049942
OSG,010 I,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74528885,-118.204773
Lease by Tidelands Oil Production Co.,L 215,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74532318,-118.2049942
OSG,009 I,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.745327,-118.204773
OSG,020 I,Canceled,UNK,Unknown,T2975,Tidelands Oil Production Co.,33.74534988,-118.2051468
Lease by Tidelands Oil Production Co.,FL-231,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74536133,-118.2048798
OSG,008 I,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74536514,-118.204773
Lease by Tidelands Oil Production Co.,L 213,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74538422,-118.2049942
OSG,019 I,Canceled,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74538803,-118.2051468
Lease by Tidelands Oil Production Co.,L 230,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74539185,-118.2048798
OSG,18,Canceled,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74540329,-118.2051773
Lease by Tidelands Oil Production Co.,L 212,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74541473,-118.2049942
OSG,007 I,Canceled,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74542236,-118.2047501
Lease by Tidelands Oil Production Co.,L 229,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74542236,-118.2048798
OSG,6,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74543762,-118.204773
Lease by Tidelands Oil Production Co.,L 228,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74545288,-118.2048798
OSG,17,Canceled,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74546051,-118.2051468
Lease by Tidelands Oil Production Co.,FG-1,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74547577,-118.2049942
OSG,5,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74547577,-118.204773
OSG,16,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74549866,-118.2051468
Lease by Tidelands Oil Production Co.,FG-2,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74550629,-118.2049942
OSG,4,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.7455101,-118.204773
Lease by Tidelands Oil Production Co.,L 226,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.7455101,-118.2048798
OSG,15,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.7455368,-118.2051468
Lease by Tidelands Oil Production Co.,FG-3,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74554062,-118.2049942
Lease by Tidelands Oil Production Co.,L 225,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74554443,-118.2048798
OSG,3,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74554825,-118.204773
Lease by Tidelands Oil Production Co.,FL-207,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74556351,-118.2049942
Lease by Tidelands Oil Production Co.,FL-224,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74557114,-118.2048798
OSG,14,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74557114,-118.2051468
Lease by Tidelands Oil Production Co.,FG-4,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74557495,-118.2049942
OSG,2,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.7455864,-118.204773
Lease by Tidelands Oil Production Co.,L 223,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74560547,-118.2048798
OSG,13,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74560928,-118.2051468
OSG,1,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74562454,-118.204773
Lease by Tidelands Oil Production Co.,SJ-1,Idle,WS,Water Source,T2975,Tidelands Oil Production Co.,33.74562454,-118.1916122
Lease by Tidelands Oil Production Co.,L 222,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74563217,-118.2048798
OSG,12,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74564743,-118.2051468
Lease by Tidelands Oil Production Co.,L 233,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74567413,-118.2048798
OSG,11,Canceled,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74568558,-118.2051468
Lease by Tidelands Oil Production Co.,L 220,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74569321,-118.2048798
Lease by Tidelands Oil Production Co.,L 232,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74572372,-118.2048798
Lease by Tidelands Oil Production Co.,L 202,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74572372,-118.2049942
Lease by Tidelands Oil Production Co.,FL-218,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74575424,-118.2048798
Lease by Tidelands Oil Production Co.,L 201,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74575424,-118.2049942
Lease by Tidelands Oil Production Co.,SG-8,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74614716,-118.2039795
Lease by Tidelands Oil Production Co.,SG-6,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74617767,-118.2042618
Hards-Warnock,1,Idle,OG,Oil & Gas,401,"Apex Petroleum Corporation, Ltd.",33.74784088,-118.2794876
Lease by Tidelands Oil Production Co.,SA-11,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74797058,-118.2139358
OSJ,006 I,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74856949,-118.1910553
Lease by Tidelands Oil Production Co.,FL-710,Plugged,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.7485733,-118.1910858
Lease by Tidelands Oil Production Co.,L 709,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74858475,-118.1911011
Lease by Tidelands Oil Production Co.,FL-708,Plugged,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74859619,-118.1911163
OSJ,005 I,Active,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74861908,-118.1910553
Lease by Tidelands Oil Production Co.,L 706,Idle,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74862289,-118.1911392
Lease by Tidelands Oil Production Co.,FL-705,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74863434,-118.1911545
Lease by Tidelands Oil Production Co.,FL-704,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74864578,-118.1911621
OSJ,4,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.7486496,-118.1910782
Lease by Tidelands Oil Production Co.,FL-703,Plugged,INJ,Injection,T2975,Tidelands Oil Production Co.,33.74866104,-118.1911774
Lease by Tidelands Oil Production Co.,L 702,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74867249,-118.1911926
OSJ,3,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.7486763,-118.1911087
Lease by Tidelands Oil Production Co.,L 701,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74868774,-118.1912003
OSJ,2,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74870682,-118.1911392
OSJ,1,Active,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74873352,-118.1911697
Lease by THUMS Long Beach Co.,J-340 I,Plugged,Multi,Multi-Purpose,T2900,THUMS Long Beach Co.,33.74909973,-118.1916199
Lease by Tidelands Oil Production Co.,FW-288,Plugged,WF,Waterflood,T2975,Tidelands Oil Production Co.,33.74911118,-118.2131424
Lease by THUMS Long Beach Co.,J-349 I,Plugged,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74911118,-118.1916351
Lease by THUMS Long Beach Co.,J-348 I,Active,WF,Waterflood,T2900,THUMS Long Beach Co.,33.74912262,-118.1916428
Lease by Tidelands Oil Production Co.,L 165,Plugged,OG,Oil & Gas,T2975,Tidelands Oil Production Co.,33.74912643,-118.2131119
