LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,Latitude,Longitude
Quinn-Venice,1,Plugged,DH,Dry Hole,9595,John B. Quinn,33.99820328,-118.4631653
LAI 1,300,Plugged,INJ,Injection,S2641,Sentinel Peak Resources California LLC,33.99822235,-118.3703384
BC,211,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.9982338,-118.3667984
BC,111,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99824905,-118.3658676
Stocker,9,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99825668,-118.3550796
BC,6751,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99827194,-118.3619614
L.A.Investment 1,45,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99827194,-118.3748932
Baldwin-Cienega,11,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.9982872,-118.3669739
Vail,3,Plugged,OG,Oil & Gas,A4525,Atlantic Richfield Company,33.9982872,-118.1448898
Turnbull Community,3,Plugged,OG,Oil & Gas,S4700,Southern California Gas Company,33.9982872,-117.9795761
LAI 1,261,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99830246,-118.3705368
Baldwin-Cienega,542,Plugged,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.9983139,-118.3633423
Baldwin-Cienega,42,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99832535,-118.3631744
BC,6654,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99833679,-118.3619843
BC,77,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99834061,-118.3610001
LAI 1,97,Plugged,UNK,Unknown,S2641,Sentinel Peak Resources California LLC,33.99834061,-118.3745041
BC,242,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99835587,-118.3634796
LAI 1,178,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99836349,-118.370575
BC,152,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99837875,-118.3613586
C.W.O.D.,3,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99837875,-118.1656799
BC,330,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99838257,-118.3621063
C.W.O.D.,4,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99840164,-118.1657562
