FIPS,Area Name,Census Tract,Total Population:,Total: White,Total: Black,Total: AmerIndian,Total: Asian,Total: Hawaiian and PacIslander,Total: Other,Total: Mixed,% Total: White,% Total: Black,% Total: AmerIndian,% Total: Asian,% Total: Hawaiian and PacIslander,% Total: Other,% Total: Mixed,Total: Not Hispanic or Latino,Total: Hispanic or Latino,% Total: Not Hispanic or Latino,% Total: Hispanic or Latino
6037601002,Census Tract 6010.02,601002,5167,1135,2542,223,101,0,810,356,21.97,49.2,4.32,1.95,0,15.68,6.89,3116,2051,60.31,39.69
6037601100,Census Tract 6011,601100,6869,1391,2154,58,331,0,2717,218,20.25,31.36,0.84,4.82,0,39.55,3.17,2621,4248,38.16,61.84
6037601202,Census Tract 6012.02,601202,4000,2510,164,55,99,0,1133,39,62.75,4.1,1.38,2.48,0,28.32,0.98,552,3448,13.8,86.2
6037601211,Census Tract 6012.11,601211,2880,502,1087,0,9,26,1109,147,17.43,37.74,0,0.31,0.9,38.51,5.1,1335,1545,46.35,53.65
6037601212,Census Tract 6012.12,601212,6774,1990,2191,75,70,409,1520,519,29.38,32.34,1.11,1.03,6.04,22.44,7.66,2955,3819,43.62,56.38
6037601301,Census Tract 6013.01,601301,1921,488,1129,6,66,0,57,175,25.4,58.77,0.31,3.44,0,2.97,9.11,1510,411,78.6,21.4
6037601302,Census Tract 6013.02,601302,7333,1819,4041,2,293,0,851,327,24.81,55.11,0.03,4,0,11.61,4.46,5105,2228,69.62,30.38
6037601303,Census Tract 6013.03,601303,5084,827,2566,67,192,10,1011,411,16.27,50.47,1.32,3.78,0.2,19.89,8.08,3360,1724,66.09,33.91
6037601401,Census Tract 6014.01,601401,5949,1770,2104,219,286,0,1179,391,29.75,35.37,3.68,4.81,0,19.82,6.57,2924,3025,49.15,50.85
6037601402,Census Tract 6014.02,601402,4793,2111,92,142,74,25,2320,29,44.04,1.92,2.96,1.54,0.52,48.4,0.61,425,4368,8.87,91.13
6037601501,Census Tract 6015.01,601501,3918,1927,201,18,0,193,1490,89,49.18,5.13,0.46,0,4.93,38.03,2.27,454,3464,11.59,88.41
6037601502,Census Tract 6015.02,601502,4059,2289,76,35,117,0,1451,91,56.39,1.87,0.86,2.88,0,35.75,2.24,253,3806,6.23,93.77
6037601600,Census Tract 6016,601600,4439,1777,147,0,318,153,1958,86,40.03,3.31,0,7.16,3.45,44.11,1.94,618,3821,13.92,86.08
6037601700,Census Tract 6017,601700,5126,1819,407,133,85,0,2620,62,35.49,7.94,2.59,1.66,0,51.11,1.21,667,4459,13.01,86.99
6037601801,Census Tract 6018.01,601801,2834,1700,63,13,42,0,991,25,59.99,2.22,0.46,1.48,0,34.97,0.88,124,2710,4.38,95.62
